date;time;user;nice;system;idle;iowait;irq;softirq
2022-10-29;17:16:32;0.0;0.0;1.0;99.0;0.0;0.0;0.0
2022-10-29;17:16:33;0.0;0.0;0.0;99.5;0.0;0.0;0.5
2022-10-29;17:16:34;5.4;0.0;5.9;87.7;0.0;0.5;0.5
2022-10-29;17:16:35;0.5;0.0;4.5;94.0;0.0;0.5;0.5
2022-10-29;17:16:36;0.0;0.0;5.0;94.1;0.0;0.5;0.5
2022-10-29;17:16:37;0.5;0.0;3.6;95.4;0.0;0.0;0.5
2022-10-29;17:16:38;0.0;0.0;4.5;94.5;0.0;0.5;0.5
2022-10-29;17:16:39;0.5;0.0;3.0;95.5;0.0;0.5;0.5
2022-10-29;17:16:40;0.0;0.0;4.5;94.4;0.0;0.5;0.5
2022-10-29;17:16:41;0.0;0.0;3.0;95.9;0.0;0.5;0.5
2022-10-29;17:16:42;0.5;0.0;4.5;93.9;0.0;0.5;0.5
2022-10-29;17:16:43;1.0;0.5;3.0;94.4;0.0;0.5;0.5
2022-10-29;17:16:44;0.0;0.0;3.5;95.5;0.0;0.5;0.5
2022-10-29;17:16:45;0.0;0.0;2.6;96.4;0.0;0.5;0.5
2022-10-29;17:16:46;0.5;0.0;5.9;93.1;0.0;0.0;0.5
2022-10-29;17:16:47;0.0;0.0;3.0;95.9;0.0;0.5;0.5
2022-10-29;17:16:48;0.5;0.0;5.4;93.1;0.0;0.5;0.5
2022-10-29;17:16:49;0.0;0.0;2.0;97.0;0.0;0.5;0.5
2022-10-29;17:16:50;0.0;0.0;5.5;93.5;0.0;0.5;0.5
2022-10-29;17:16:51;0.0;0.0;3.0;95.9;0.0;0.5;0.5
2022-10-29;17:16:52;1.5;0.0;4.9;92.6;0.0;0.5;0.5
2022-10-29;17:16:53;0.5;0.0;2.5;96.0;0.0;0.5;0.5
2022-10-29;17:16:54;4.6;0.0;7.6;86.3;0.0;0.5;1.0
2022-10-29;17:16:55;4.0;0.0;6.0;89.0;0.0;0.5;0.5
2022-10-29;17:16:56;3.6;0.0;11.9;80.9;0.0;1.0;2.6
2022-10-29;17:16:57;1.5;0.0;6.5;89.9;0.0;1.0;1.0
2022-10-29;17:16:58;0.0;0.0;7.6;91.4;0.0;0.5;0.5
2022-10-29;17:16:59;1.0;0.0;6.0;91.5;0.0;0.5;1.0
2022-10-29;17:17:00;1.0;0.0;5.1;92.3;0.0;0.5;1.0
2022-10-29;17:17:01;1.5;0.0;5.5;91.5;0.0;1.0;0.5
2022-10-29;17:17:02;0.5;0.0;5.6;92.9;0.0;0.5;0.5
2022-10-29;17:17:03;1.0;0.0;10.1;86.4;0.0;1.0;1.5
2022-10-29;17:17:04;1.5;0.0;9.0;86.5;0.0;1.5;1.5
2022-10-29;17:17:05;1.5;0.0;9.2;87.2;0.0;1.0;1.0
2022-10-29;17:17:06;10.3;0.0;14.4;73.8;0.0;0.5;1.0
2022-10-29;17:17:07;2.0;0.0;7.8;88.2;0.0;1.0;1.0
2022-10-29;17:17:08;1.0;0.0;12.2;84.3;0.0;1.0;1.5
2022-10-29;17:17:09;0.5;0.0;8.1;89.4;0.0;1.0;1.0
2022-10-29;17:17:10;1.0;0.0;9.7;86.7;0.0;1.0;1.5
2022-10-29;17:17:11;1.5;0.0;12.6;83.5;0.0;1.0;1.5
2022-10-29;17:17:12;1.0;0.5;6.6;90.4;0.0;0.5;1.0
2022-10-29;17:17:13;5.2;1.0;14.9;76.8;0.0;1.0;1.0
2022-10-29;17:17:14;1.0;0.0;10.1;86.4;0.0;1.0;1.5
2022-10-29;17:17:15;2.1;0.0;10.9;83.4;0.0;1.6;2.1
2022-10-29;17:17:16;1.0;0.0;4.1;93.3;0.0;0.5;1.0
2022-10-29;17:17:17;0.0;0.0;6.1;92.9;0.0;0.5;0.5
2022-10-29;17:17:18;2.0;0.0;14.3;80.8;0.0;1.5;1.5
2022-10-29;17:17:19;0.0;0.0;5.6;92.9;0.0;0.5;1.0
2022-10-29;17:17:20;0.5;0.0;7.5;90.5;0.0;1.0;0.5
2022-10-29;17:17:21;1.0;0.0;3.5;93.9;0.0;0.5;1.0
2022-10-29;17:17:22;0.0;0.0;3.6;95.4;0.0;0.5;0.5
2022-10-29;17:17:23;0.0;0.0;3.1;95.9;0.0;0.5;0.5
2022-10-29;17:17:24;0.5;0.0;6.4;92.2;0.0;0.5;0.5
2022-10-29;17:17:25;0.5;0.0;2.6;95.9;0.0;0.5;0.5
2022-10-29;17:17:26;0.5;0.0;2.0;96.4;0.0;0.5;0.5
2022-10-29;17:17:27;1.0;0.0;1.5;96.9;0.0;0.0;0.5
2022-10-29;17:17:28;0.5;0.0;2.0;96.4;0.0;0.5;0.5
