date;time;user;nice;system;idle;iowait;irq;softirq
2022-10-29;17:16:33;0.5;0.0;0.8;96.8;0.0;0.0;2.0
2022-10-29;17:16:34;4.2;0.0;1.8;92.5;0.0;0.0;1.5
2022-10-29;17:16:35;0.2;0.0;6.0;87.8;0.0;0.0;6.0
2022-10-29;17:16:36;2.2;0.2;11.0;82.5;0.0;0.0;4.0
2022-10-29;17:16:37;1.0;0.0;6.7;85.9;0.0;0.0;6.4
2022-10-29;17:16:38;1.0;0.0;5.8;87.5;0.0;0.0;5.8
2022-10-29;17:16:39;0.5;0.0;5.2;87.0;0.0;0.0;7.2
2022-10-29;17:16:40;1.0;0.0;5.8;87.0;0.0;0.0;6.2
2022-10-29;17:16:41;3.0;0.2;12.5;77.8;0.0;0.0;6.5
2022-10-29;17:16:42;1.0;0.0;5.2;86.2;0.0;0.0;7.5
2022-10-29;17:16:43;1.5;0.0;4.5;87.5;0.0;0.0;6.5
2022-10-29;17:16:44;0.8;0.0;6.5;88.0;0.0;0.0;4.8
2022-10-29;17:16:45;1.5;0.0;5.5;83.8;0.0;0.0;9.2
2022-10-29;17:16:46;3.2;0.0;11.2;80.0;0.0;0.0;5.5
2022-10-29;17:16:47;1.5;0.0;4.8;85.8;0.0;0.0;8.0
2022-10-29;17:16:48;1.5;0.0;6.2;88.0;0.0;0.0;4.2
2022-10-29;17:16:49;1.0;0.0;6.5;85.8;0.0;0.0;6.8
2022-10-29;17:16:50;1.8;0.0;4.5;87.8;0.0;0.0;6.0
2022-10-29;17:16:51;2.2;0.0;9.0;84.0;0.0;0.0;4.8
2022-10-29;17:16:52;1.5;0.0;5.8;88.5;0.0;0.0;4.2
2022-10-29;17:16:53;0.8;0.0;6.0;86.2;0.0;0.0;7.0
2022-10-29;17:16:54;1.7;0.0;5.4;87.9;0.0;0.0;5.0
2022-10-29;17:16:55;4.5;0.0;5.5;88.0;0.0;0.0;2.0
2022-10-29;17:16:56;3.8;0.2;21.0;68.8;0.0;0.0;6.2
2022-10-29;17:16:57;1.8;0.0;8.5;82.2;0.0;0.0;7.5
2022-10-29;17:16:58;2.5;0.0;7.2;84.5;0.0;0.0;5.8
2022-10-29;17:16:59;1.8;0.0;8.5;84.2;0.0;0.0;5.5
2022-10-29;17:17:00;1.5;0.0;7.5;83.8;0.0;0.0;7.2
2022-10-29;17:17:01;3.8;0.0;12.2;77.5;0.0;0.0;6.5
2022-10-29;17:17:02;0.8;0.0;8.2;85.8;0.0;0.0;5.2
2022-10-29;17:17:03;2.0;0.0;9.0;83.5;0.0;0.0;5.5
2022-10-29;17:17:04;1.2;0.0;9.0;83.0;0.0;0.0;6.8
2022-10-29;17:17:05;2.0;0.0;8.5;84.2;0.0;0.0;5.2
2022-10-29;17:17:06;9.0;0.0;20.0;65.0;0.0;0.0;6.0
2022-10-29;17:17:07;1.8;0.0;8.8;83.0;0.0;0.0;6.5
2022-10-29;17:17:08;2.0;0.0;13.5;77.0;0.0;0.0;7.5
2022-10-29;17:17:09;2.0;0.0;10.2;81.2;0.0;0.0;6.5
2022-10-29;17:17:10;2.0;0.0;9.0;83.2;0.0;0.0;5.8
2022-10-29;17:17:11;3.0;0.7;18.8;72.0;0.0;0.0;5.4
2022-10-29;17:17:12;2.0;0.0;8.0;84.5;0.0;0.0;5.5
2022-10-29;17:17:13;3.8;0.0;11.5;78.0;0.0;0.0;6.8
2022-10-29;17:17:14;2.0;0.0;11.5;80.5;0.0;0.0;6.0
2022-10-29;17:17:15;3.0;0.0;9.0;80.5;0.0;0.0;7.5
2022-10-29;17:17:16;2.5;0.0;12.5;81.0;0.0;0.0;4.0
2022-10-29;17:17:17;1.5;0.0;7.8;86.0;0.0;0.0;4.8
2022-10-29;17:17:18;1.2;0.0;11.0;83.2;0.0;0.0;4.5
2022-10-29;17:17:19;1.5;0.0;7.2;85.2;0.0;0.0;6.0
2022-10-29;17:17:20;1.5;0.0;7.5;86.5;0.0;0.0;4.5
2022-10-29;17:17:21;4.0;0.5;13.0;75.5;0.0;0.0;7.0
2022-10-29;17:17:22;1.0;0.0;5.5;85.5;0.0;0.0;8.0
2022-10-29;17:17:23;0.2;0.0;9.0;83.5;0.0;0.0;7.2
2022-10-29;17:17:24;1.8;0.0;6.2;86.8;0.0;0.0;5.2
2022-10-29;17:17:25;1.0;0.0;5.8;87.8;0.0;0.0;5.5
2022-10-29;17:17:26;4.8;0.0;13.5;76.2;0.0;0.0;5.5
2022-10-29;17:17:27;2.5;0.0;7.0;85.2;0.0;0.0;5.2
2022-10-29;17:17:28;1.5;0.0;4.8;88.0;0.0;0.0;5.8
2022-10-29;17:17:29;2.7;0.0;8.4;83.7;0.0;0.0;5.2
2022-10-29;17:17:30;1.5;0.0;7.2;85.2;0.0;0.0;6.0
2022-10-29;17:17:31;2.2;0.2;14.0;78.5;0.0;0.0;5.0
2022-10-29;17:17:32;2.2;0.0;5.2;86.2;0.0;0.0;6.2
2022-10-29;17:17:33;2.5;0.0;9.0;82.8;0.0;0.0;5.8
2022-10-29;17:17:34;1.8;0.0;8.2;84.5;0.0;0.0;5.5
2022-10-29;17:17:35;1.5;0.0;9.0;81.2;0.0;0.0;8.2
2022-10-29;17:17:36;4.5;0.2;14.2;72.8;0.0;0.0;8.2
2022-10-29;17:17:37;0.5;0.0;7.0;85.5;0.0;0.0;7.0
2022-10-29;17:17:38;1.8;0.0;9.0;81.8;0.0;0.0;7.5
2022-10-29;17:17:39;1.8;0.0;8.8;82.5;0.0;0.0;7.0
2022-10-29;17:17:40;2.0;0.0;6.5;85.5;0.0;0.0;6.0
2022-10-29;17:17:41;3.8;0.2;14.8;71.5;0.0;0.0;9.8
2022-10-29;17:17:42;1.0;0.0;11.0;79.0;0.0;0.0;9.0
2022-10-29;17:17:43;1.0;0.0;10.4;81.9;0.0;0.0;6.7
2022-10-29;17:17:44;1.2;0.0;11.8;80.8;0.0;0.0;6.2
2022-10-29;17:17:45;1.2;0.0;8.5;85.2;0.0;0.0;5.0
2022-10-29;17:17:46;2.0;0.2;14.5;76.2;0.0;0.0;7.0
2022-10-29;17:17:47;1.2;0.0;11.0;80.2;0.0;0.0;7.5
2022-10-29;17:17:48;1.2;0.0;10.0;83.2;0.0;0.0;5.5
2022-10-29;17:17:49;1.2;0.0;8.5;82.5;0.0;0.0;7.8
2022-10-29;17:17:50;1.8;0.0;9.8;82.2;0.0;0.0;6.2
2022-10-29;17:17:51;5.0;0.2;15.5;72.2;0.0;0.0;7.0
2022-10-29;17:17:52;1.5;0.0;8.2;85.2;0.0;0.0;5.0
2022-10-29;17:17:53;1.2;0.0;10.5;81.5;0.0;0.0;6.8
2022-10-29;17:17:54;1.2;0.0;8.0;85.2;0.0;0.0;5.5
2022-10-29;17:17:55;2.2;0.0;6.2;85.8;0.0;0.0;5.8
2022-10-29;17:17:56;4.5;0.0;13.2;78.2;0.0;0.0;4.0
2022-10-29;17:17:57;2.8;0.0;7.0;83.8;0.0;0.0;6.5
2022-10-29;17:17:58;1.5;0.0;6.9;85.6;0.0;0.0;5.9
2022-10-29;17:17:59;2.2;0.0;11.5;79.2;0.0;0.0;7.0
2022-10-29;17:18:00;2.5;0.0;8.2;79.5;0.0;0.0;9.8
2022-10-29;17:18:01;3.0;0.2;15.5;75.0;0.0;0.0;6.2
2022-10-29;17:18:02;1.5;0.0;9.5;84.0;0.0;0.0;5.0
2022-10-29;17:18:03;1.2;0.0;8.5;82.5;0.0;0.0;7.8
2022-10-29;17:18:04;2.2;0.0;5.5;85.5;0.0;0.0;6.8
2022-10-29;17:18:05;1.0;0.0;6.2;85.8;0.0;0.0;7.0
2022-10-29;17:18:06;2.8;0.0;11.5;80.5;0.0;0.0;5.2
2022-10-29;17:18:07;1.8;0.0;6.0;86.5;0.0;0.0;5.8
2022-10-29;17:18:08;1.0;0.0;10.0;83.0;0.0;0.0;6.0
2022-10-29;17:18:09;2.5;0.0;12.5;77.5;0.0;0.0;7.5
2022-10-29;17:18:10;1.0;0.0;7.2;84.5;0.0;0.0;7.2
2022-10-29;17:18:11;4.2;0.8;19.2;70.8;0.0;0.0;5.0
2022-10-29;17:18:12;1.8;0.0;8.0;85.0;0.0;0.0;5.2
2022-10-29;17:18:13;1.8;0.0;7.2;84.2;0.0;0.0;6.8
2022-10-29;17:18:14;1.0;0.0;11.8;79.8;0.0;0.0;7.5
2022-10-29;17:18:15;1.2;0.0;9.7;80.2;0.0;0.0;8.9
2022-10-29;17:18:16;3.8;0.5;16.8;72.5;0.0;0.0;6.5
2022-10-29;17:18:17;1.5;0.0;9.0;80.2;0.0;0.0;9.2
2022-10-29;17:18:18;2.0;0.0;6.0;84.5;0.0;0.0;7.5
2022-10-29;17:18:19;1.0;0.0;7.0;85.8;0.0;0.0;6.2
2022-10-29;17:18:20;1.5;0.0;8.8;82.5;0.0;0.0;7.2
2022-10-29;17:18:21;3.2;0.2;12.0;79.0;0.0;0.0;5.5
2022-10-29;17:18:22;1.5;0.0;9.0;81.5;0.0;0.0;8.0
2022-10-29;17:18:23;2.2;0.0;8.2;82.5;0.0;0.0;7.0
2022-10-29;17:18:24;3.2;0.0;10.0;78.2;0.0;0.0;8.5
2022-10-29;17:18:25;2.5;0.0;8.0;82.5;0.0;0.0;7.0
2022-10-29;17:18:26;3.2;0.0;13.2;77.5;0.0;0.0;6.0
2022-10-29;17:18:27;3.5;0.0;7.8;79.8;0.0;0.0;9.0
2022-10-29;17:18:28;1.0;0.0;6.0;85.2;0.0;0.0;7.8
2022-10-29;17:18:29;1.8;0.0;5.5;85.8;0.0;0.0;7.0
2022-10-29;17:18:30;2.5;0.0;8.2;83.2;0.0;0.0;6.0
2022-10-29;17:18:31;3.0;0.0;15.5;77.5;0.0;0.0;4.0
2022-10-29;17:18:32;1.7;0.0;11.1;79.5;0.0;0.0;7.7
2022-10-29;17:18:33;3.0;0.0;11.8;78.0;0.0;0.0;7.2
2022-10-29;17:18:34;2.2;0.0;13.2;79.2;0.0;0.0;5.2
2022-10-29;17:18:35;1.8;0.0;11.5;79.2;0.0;0.0;7.5
2022-10-29;17:18:36;4.2;0.2;15.0;74.5;0.0;0.0;6.0
2022-10-29;17:18:37;0.5;0.0;8.5;86.0;0.0;0.0;5.0
2022-10-29;17:18:38;2.2;0.0;7.2;84.2;0.0;0.0;6.2
2022-10-29;17:18:39;1.0;0.0;7.5;87.2;0.0;0.0;4.2
2022-10-29;17:18:40;2.5;0.0;6.8;84.0;0.0;0.0;6.8
2022-10-29;17:18:41;4.8;1.2;16.8;72.5;0.0;0.0;4.8
2022-10-29;17:18:42;1.8;0.0;9.5;81.2;0.0;0.0;7.5
2022-10-29;17:18:43;2.2;0.0;10.8;77.5;0.0;0.0;9.5
2022-10-29;17:18:44;1.0;0.0;10.2;82.0;0.0;0.0;6.8
2022-10-29;17:18:45;2.2;0.0;7.2;86.0;0.0;0.0;4.5
